id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,Column11,Column12
26675,Women,Footwear,Flip Flops,Flip Flops,Black,Summer,2012,Casual,Puma Women Stawberry Black Flip Flops,,
16982,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,2011,Casual,Puma Men Lynx Black Slipper,,
8546,Women,Footwear,Flip Flops,Flip Flops,Brown,Fall,2011,Casual,Crocs Women Abf Single Flip Slippers,,
49814,Women,Footwear,Flip Flops,Flip Flops,Red,Winter,2012,Casual,iPanema Women Red Flip Flops,,
26375,Men,Footwear,Flip Flops,Flip Flops,Yellow,Summer,2012,Casual,Fila Men Summer Fun Flip Flops,,
15387,Men,Footwear,Flip Flops,Flip Flops,Red,Summer,2012,Casual,Fila Men Kumi Red Slippers,,
6321,Unisex,Footwear,Flip Flops,Flip Flops,Blue,Spring,2012,Casual,Puma Unisex Arizona Light Blue White Flip Flop,,
2552,Men,Footwear,Flip Flops,Flip Flops,Blue,Fall,2009,Casual,Numero Uno Men's Casual Blue Graphic Flip Flop,,
8746,Unisex,Footwear,Flip Flops,Flip Flops,Navy Blue,Summer,2015,Casual,Crocs Kids Navy Blue Clogs,,
3997,Men,Footwear,Flip Flops,Flip Flops,Grey,Winter,2011,Casual,Spalding Men Grey & Orange Flip Flops,,
49938,Men,Apparel,Innerwear,Innerwear Vests,Black,Summer,2016,Casual,Hanes Men Black Innerwear Vest,,
50594,Men,Apparel,Innerwear,Briefs,Grey,Summer,2016,Casual,Chromozome Men Grey Briefs,,
57322,Women,Apparel,Innerwear,Bra,Pink,Winter,2015,Casual,Amante Pink Full-Coverage Lace Bra BCFR11,,
39532,Women,Apparel,Innerwear,Bra,White,Winter,2015,Casual,Bwitch White Bra,,
32070,Men,Apparel,Innerwear,Boxers,Black,Summer,2016,Casual,Playboy Men Black Boxers,,
27510,Women,Apparel,Innerwear,Bra,White,Fall,2015,Casual,Jockey White T-shirt Bra SS 15,,
54307,Women,Apparel,Innerwear,Briefs,Grey Melange,Summer,2017,Casual,Garfield Women Grey Melange String Briefs,,
56284,Women,Apparel,Innerwear,Bra,White,Summer,2017,Casual,Biara White Everyday Support Bra,,
57373,Women,Apparel,Innerwear,Briefs,Black,Winter,2015,Casual,Amante Women Black Briefs PFCL01,,
53540,Women,Apparel,Innerwear,Briefs,Blue,Winter,2015,Casual,Amante Women Pack of 2 Bikini Briefs PFFL02,,
45626,Men,Apparel,Innerwear,Briefs,Grey,Summer,2016,Casual,Park Avenue Men Grey Briefs,,
59727,Women,Apparel,Innerwear,Bra,Red,Summer,2012,Casual,Avirate Red & Black Bra,,
51046,Women,Apparel,Innerwear,Bra,Black,Summer,2017,Casual,Enamor Black La Mode Bra,,
28085,Men,Apparel,Innerwear,Briefs,White,Summer,2016,Casual,Jockey MODERN CLASSIC Men White Y Front Briefs 2007,,
27432,Women,Apparel,Innerwear,Bra,Black,Summer,2018,Sports,Jockey Black Eva Sports Bra 1375,,
